date,species,length,weight,basin,diet_count,diet_comp,rel_percent,size ,diet_comp2
7/21/2023,LMB,178,70,R,1,fly,0.006060606,small,t_invert
6/30/2023,LMB,196,80,R,1,unk_fish,0.006060606,small,fish
7/3/2023,LMB,204,200,T,4,unk_fish,0.019512195,small,fish
7/3/2023,LMB,215,165,R,1,unk_fish,0.006060606,small,fish
7/3/2023,LMB,218,160,T,23,unk_fish,0.112195122,small,fish
7/21/2023,LMB,228,150,R,3,unk_fish,0.018181818,small,fish
6/30/2023,LMB,230,120,R,3,unk_fish,0.018181818,small,fish
7/21/2023,LMB,230,120,R,1,unk_fish,0.006060606,small,fish
7/3/2023,LMB,231,100,R,2,LMB,0.012121212,small,fish
7/3/2023,LMB,231,100,R,4,unk_fish,0.024242424,small,fish
7/3/2023,LMB,231,100,R,1,odanata,0.006060606,small,t_invert
7/3/2023,LMB,231,100,R,1,ant,0.006060606,small,t_invert
6/30/2023,LMB,231,150,T,4,unk_fish,0.019512195,small,fish
6/8/2023,LMB,233,128,R,1,odanata(nymph),0.006060606,small,aq_invert
6/8/2023,LMB,233,128,R,5,unk_fish,0.03030303,small,fish
6/23/2023,LMB,233,130,T,7,unk_fish,0.034146341,small,fish
6/8/2023,LMB,236,152,R,4,unk_fish,0.024242424,small,fish
6/23/2023,LMB,245,170,T,12,unk_fish,0.058536585,small,fish
6/23/2023,LMB,245,170,T,1,mosquito,0.004878049,small,t_invert
6/30/2023,LMB,249,140,T,1,YEP,0.004878049,small,fish
6/30/2023,LMB,249,140,T,5,unk_fish,0.024390244,small,fish
6/23/2023,LMB,250,180,R,7,unk_fish,0.042424242,small,fish
6/30/2023,LMB,250,190,R,3,unk_fish,0.018181818,small,fish
7/3/2023,LMB,250,155,R,2,odanata,0.012121212,small,t_invert
6/23/2023,LMB,250,170,T,2,unk_fish,0.009756098,small,fish
6/23/2023,LMB,251,170,R,6,unk_fish,0.036363636,small,fish
7/21/2023,LMB,251,175,R,1,unk_fish,0.006060606,small,fish
7/21/2023,LMB,251,175,R,1,odanata,0.006060606,small,t_invert
7/21/2023,LMB,251,175,R,1,mosquito,0.006060606,small,t_invert
6/30/2023,LMB,255,205,T,58,unk_fish,0.282926829,small,fish
6/30/2023,LMB,255,205,T,1,mosquito,0.004878049,small,t_invert
6/23/2023,LMB,258,180,T,1,odanata(nymph),0.004878049,small,aq_invert
6/23/2023,LMB,258,180,T,7,unk_fish,0.034146341,small,fish
6/23/2023,LMB,262,220,T,1,unk_fish,0.004878049,small,fish
7/3/2023,LMB,263,185,T,2,LMB,0.009756098,small,fish
7/3/2023,LMB,263,185,T,3,unk_fish,0.014634146,small,fish
7/21/2023,LMB,265,210,R,1,unk_fish,0.006060606,small,fish
6/30/2023,LMB,265,220,T,1,LMB,0.004878049,small,fish
6/30/2023,LMB,265,220,T,1,unk_fish,0.004878049,small,fish
6/30/2023,LMB,267,200,R,1,YEP,0.006060606,small,fish
6/30/2023,LMB,267,200,R,7,unk_fish,0.042424242,small,fish
6/30/2023,LMB,267,200,R,1,odanata,0.006060606,small,t_invert
7/3/2023,LMB,268,180,R,1,odanata(nymph),0.006060606,small,aq_invert
7/3/2023,LMB,268,180,R,1,unk_fish,0.006060606,small,fish
7/3/2023,LMB,268,180,R,1,odanata,0.006060606,small,t_invert
6/30/2023,LMB,269,240,R,2,LMB,0.012121212,small,fish
6/30/2023,LMB,269,240,R,3,YEP,0.018181818,small,fish
6/30/2023,LMB,269,240,R,8,unk_fish,0.048484848,small,fish
6/30/2023,LMB,270,240,R,2,YEP,0.012121212,small,fish
6/30/2023,LMB,270,240,R,3,unk_fish,0.018181818,small,fish
6/23/2023,LMB,275,260,R,3,unk_fish,0.018181818,small,fish
7/21/2023,LMB,275,245,R,2,unk_fish,0.012121212,small,fish
7/21/2023,LMB,275,245,R,3,ant,0.018181818,small,t_invert
7/21/2023,LMB,275,235,T,2,LMB,0.009756098,small,fish
6/30/2023,LMB,279,240,R,7,unk_fish,0.042424242,small,fish
6/20/2023,LMB,281,232,T,1,chironomidae(adult),0.004878049,small,t_invert
6/20/2023,LMB,281,232,T,2,unk_fish,0.009756098,small,fish
6/30/2023,LMB,281,240,T,2,LMB,0.009756098,small,fish
6/30/2023,LMB,285,250,T,1,YEP,0.004878049,small,fish
6/30/2023,LMB,285,250,T,8,unk_fish,0.03902439,small,fish
7/3/2023,LMB,291,250,R,1,odanata(nymph),0.006060606,small,aq_invert
7/3/2023,LMB,291,250,R,1,YEP,0.006060606,small,fish
7/3/2023,LMB,291,250,R,10,unk_fish,0.060606061,small,fish
6/23/2023,LMB,294,280,T,7,unk_fish,0.034146341,small,fish
6/30/2023,LMB,299,300,R,10,unk_fish,0.060606061,small,fish
6/23/2023,LMB,300,300,R,2,unk_fish,0.012121212,small,fish
7/21/2023,LMB,301,330,T,4,unk_fish,0.019512195,small,fish
6/23/2023,LMB,310,330,T,3,unk_fish,0.014634146,large,fish
6/20/2023,LMB,311,366,T,2,BLG,0.009756098,large,fish
7/3/2023,LMB,312,350,T,1,LMB,0.004878049,large,fish
7/3/2023,LMB,312,350,T,1,unk_fish,0.004878049,large,fish
6/23/2023,LMB,313,330,T,2,unk_fish,0.009756098,large,fish
6/30/2023,LMB,313,340,T,2,LMB,0.009756098,large,fish
6/30/2023,LMB,313,340,T,1,unk_fish,0.004878049,large,fish
6/8/2023,LMB,315,326,T,4,odanata,0.019512195,large,t_invert
6/30/2023,LMB,320,350,T,1,YEP,0.004878049,large,fish
7/3/2023,LMB,321,325,R,1,ephemeroptera,0.006060606,large,aq_invert
7/3/2023,LMB,321,325,R,3,unk_fish,0.018181818,large,fish
6/23/2023,LMB,323,370,R,5,unk_fish,0.03030303,large,fish
6/23/2023,LMB,325,350,T,3,LMB,0.014634146,large,fish
6/23/2023,LMB,325,350,T,5,unk_fish,0.024390244,large,fish
7/3/2023,LMB,330,350,R,1,odanata,0.006060606,large,t_invert
7/14/2023,LMB,330,425,T,1,LMB,0.004878049,large,fish
7/14/2023,LMB,330,425,T,1,unk_fish,0.004878049,large,fish
6/23/2023,LMB,333,470,R,2,odanata,0.012121212,large,t_invert
6/30/2023,LMB,340,450,R,1,odanata(nymph),0.006060606,large,aq_invert
6/30/2023,LMB,340,450,R,1,LMB,0.006060606,large,fish
6/30/2023,LMB,340,450,R,2,odanata,0.012121212,large,t_invert
6/30/2023,LMB,340,450,R,1,amphibian,0.006060606,large,t_vert
7/3/2023,LMB,341,355,R,5,unk_fish,0.03030303,large,fish
6/23/2023,LMB,349,470,R,15,unk_fish,0.090909091,large,fish
6/23/2023,LMB,349,470,R,3,odanata,0.018181818,large,t_invert
6/30/2023,LMB,349,470,T,7,unk_fish,0.034146341,large,fish
6/30/2023,LMB,349,470,T,1,amphipoda,0.004878049,large,aq_invert
6/30/2023,LMB,350,500,T,1,LMB,0.004878049,large,fish
7/3/2023,LMB,350,500,T,4,unk_fish,0.019512195,large,fish
7/3/2023,LMB,350,500,T,1,odanata,0.004878049,large,t_invert
6/23/2023,LMB,358,510,T,1,unk_fish,0.004878049,large,fish
7/19/2023,LMB,361,460,T,1,LMB,0.004878049,large,fish
6/30/2023,LMB,364,500,R,5,unk_fish,0.03030303,large,fish
6/30/2023,LMB,364,500,R,1,odanata,0.006060606,large,t_invert
7/21/2023,LMB,370,520,T,1,plastic,0.004878049,large,plastic
