a_invert_T,a_invert_R,fish_R,fish_T,plastic_R,plastic_T,t_invert_R,t_invert_T,t_vert_R,t_vert_T
1,1,4,2,0,1,2,4,1,1
1,3,5,2,,,1,1,1,
,1,7,3,,,1,1,,
,1,3,1,,,2,1,,
,1,5,12,,,1,1,,
,1,6,3,,,1,,,
,1,2,7,,,1,,,
,3,15,1,,,2,,,
,1,2,7,,,1,,,
,,1,5,,,3,,,
,,10,2,,,1,,,
,,3,2,,,1,,,
,,7,7,,,1,,,
,,5,1,,,1,,,
,,8,2,,,1,,,
,,3,1,,,,,,
,,3,2,,,,,,
,,7,5,,,,,,
,,1,4,,,,,,
,,2,7,,,,,,
,,1,58,,,,,,
,,3,1,,,,,,
,,2,1,,,,,,
,,5,8,,,,,,
,,10,1,,,,,,
,,1,1,,,,,,
,,1,1,,,,,,
,,4,2,,,,,,
,,3,1,,,,,,
,,1,3,,,,,,
,,2,23,,,,,,
,,3,4,,,,,,
,,1,1,,,,,,
,,1,4,,,,,,
,,1,1,,,,,,
,,2,1,,,,,,
,,3,1,,,,,,
,,4,2,,,,,,
,,4,4,,,,,,
,,1,1,,,,,,
,,2,4,,,,,,
,,7,1,,,,,,
,,3,,,,,,,
,,5,,,,,,,
,,6,,,,,,,
,,8,,,,,,,
,,1,,,,,,,
,,3,,,,,,,
