date,lake,species,length,weight,basin,diet_count,diet_comp,rel_percent,diet_comp2,month 
6/8/2023,Camp,LMB,315,326,T,4,odanata,0.018867925,t_invert,6
6/8/2023,Camp,LMB,233,128,R,1,odanata(nymph),0.004504505,a_invert,6
6/8/2023,Camp,LMB,236,152,R,4,unk_fish,0.018018018,fish,6
6/8/2023,Camp,LMB,233,128,R,5,unk_fish,0.022522523,fish,6
6/20/2023,Camp,LMB,311,366,T,2,BLG,0.009433962,fish,6
6/20/2023,Camp,LMB,281,232,T,1,chironomidae(adult),0.004716981,a_invert,6
6/20/2023,Camp,LMB,281,232,T,2,unk_fish,0.009433962,fish,6
6/23/2023,Camp,LMB,325,350,T,3,LMB,0.014150943,fish,6
6/23/2023,Camp,LMB,245,170,T,1,mosquito ,0.004716981,t_invert,6
6/23/2023,Camp,LMB,349,470,R,3,odanata,0.013513514,a_invert,6
6/23/2023,Camp,LMB,333,470,R,2,odanata ,0.009009009,t_invert,6
6/23/2023,Camp,LMB,258,180,T,1,odanata(nymph),0.004716981,a_invert,6
6/23/2023,Camp,LMB,250,180,R,7,unk_fish,0.031531532,fish,6
6/23/2023,Camp,LMB,275,260,R,3,unk_fish,0.013513514,fish,6
6/23/2023,Camp,LMB,323,370,R,5,unk_fish,0.022522523,fish,6
6/23/2023,Camp,LMB,251,170,R,6,unk_fish,0.027027027,fish,6
6/23/2023,Camp,LMB,300,300,R,2,unk_fish,0.009009009,fish,6
6/23/2023,Camp,LMB,349,470,R,15,unk_fish,0.067567568,fish,6
6/23/2023,Camp,LMB,262,220,T,1,unk_fish,0.004716981,fish,6
6/23/2023,Camp,LMB,245,170,T,12,unk_fish,0.056603774,fish,6
6/23/2023,Camp,LMB,310,330,T,3,unk_fish,0.014150943,fish,6
6/23/2023,Camp,LMB,258,180,T,7,unk_fish,0.033018868,fish,6
6/23/2023,Camp,LMB,358,510,T,1,unk_fish,0.004716981,fish,6
6/23/2023,Camp,LMB,294,280,T,7,unk_fish,0.033018868,fish,6
6/23/2023,Camp,LMB,325,350,T,5,unk_fish,0.023584906,fish,6
6/23/2023,Camp,LMB,313,330,T,2,unk_fish,0.009433962,fish,6
6/23/2023,Camp,LMB,250,170,T,2,unk_fish,0.009433962,fish,6
6/23/2023,Camp,LMB,233,130,T,7,unk_fish,0.033018868,fish,6
6/30/2023,Camp,LMB,340,450,R,1,amphibian ,0.004504505,t_vert,6
6/30/2023,Camp,LMB,349,470,T,1,amphipoda ,0.004716981,t_vert,6
6/30/2023,Camp,LMB,269,240,R,2,LMB,0.009009009,fish,6
6/30/2023,Camp,LMB,340,450,R,1,LMB,0.004504505,fish,6
6/30/2023,Camp,LMB,350,500,T,1,LMB,0.004716981,fish,6
6/30/2023,Camp,LMB,281,240,T,2,LMB,0.009433962,fish,6
6/30/2023,Camp,LMB,265,220,T,1,LMB,0.004716981,fish,6
6/30/2023,Camp,LMB,313,340,T,2,LMB,0.009433962,fish,6
6/30/2023,Camp,LMB,255,205,T,1,mosquito ,0.004716981,t_invert,6
6/30/2023,Camp,LMB,267,200,R,1,odanata,0.004504505,t_invert,6
6/30/2023,Camp,LMB,364,500,R,1,odanata,0.004504505,t_invert,6
6/30/2023,Camp,LMB,340,450,R,2,odanata,0.009009009,t_invert,6
6/30/2023,Camp,LMB,340,450,R,1,odanata(nymph),0.004504505,a_invert,6
6/30/2023,Camp,LMB,299,300,R,10,unk_fish,0.045045045,fish,6
6/30/2023,Camp,LMB,270,240,R,3,unk_fish,0.013513514,fish,6
6/30/2023,Camp,LMB,267,200,R,7,unk_fish,0.031531532,fish,6
6/30/2023,Camp,LMB,364,500,R,5,unk_fish,0.022522523,fish,6
6/30/2023,Camp,LMB,269,240,R,8,unk_fish,0.036036036,fish,6
6/30/2023,Camp,LMB,230,120,R,3,unk_fish,0.013513514,fish,6
